,DateKey,Datetime,Year,Month,Day,Hour
4224,2023022400,2023-02-24 00:00:00,2023,02,24,00
4225,2023022401,2023-02-24 01:00:00,2023,02,24,01
4226,2023022402,2023-02-24 02:00:00,2023,02,24,02
4227,2023022403,2023-02-24 03:00:00,2023,02,24,03
4228,2023022404,2023-02-24 04:00:00,2023,02,24,04
4229,2023022405,2023-02-24 05:00:00,2023,02,24,05
4230,2023022406,2023-02-24 06:00:00,2023,02,24,06
4231,2023022407,2023-02-24 07:00:00,2023,02,24,07
4232,2023022408,2023-02-24 08:00:00,2023,02,24,08
4233,2023022409,2023-02-24 09:00:00,2023,02,24,09
4234,2023022410,2023-02-24 10:00:00,2023,02,24,10
4235,2023022411,2023-02-24 11:00:00,2023,02,24,11
4236,2023022412,2023-02-24 12:00:00,2023,02,24,12
4237,2023022413,2023-02-24 13:00:00,2023,02,24,13
4238,2023022414,2023-02-24 14:00:00,2023,02,24,14
4239,2023022415,2023-02-24 15:00:00,2023,02,24,15
4240,2023022416,2023-02-24 16:00:00,2023,02,24,16
4241,2023022417,2023-02-24 17:00:00,2023,02,24,17
4242,2023022418,2023-02-24 18:00:00,2023,02,24,18
4243,2023022419,2023-02-24 19:00:00,2023,02,24,19
4244,2023022420,2023-02-24 20:00:00,2023,02,24,20
4245,2023022421,2023-02-24 21:00:00,2023,02,24,21
4246,2023022422,2023-02-24 22:00:00,2023,02,24,22
4247,2023022423,2023-02-24 23:00:00,2023,02,24,23
4248,2023022500,2023-02-25 00:00:00,2023,02,25,00
4249,2023022501,2023-02-25 01:00:00,2023,02,25,01
4250,2023022502,2023-02-25 02:00:00,2023,02,25,02
4251,2023022503,2023-02-25 03:00:00,2023,02,25,03
4252,2023022504,2023-02-25 04:00:00,2023,02,25,04
4253,2023022505,2023-02-25 05:00:00,2023,02,25,05
4254,2023022506,2023-02-25 06:00:00,2023,02,25,06
4255,2023022507,2023-02-25 07:00:00,2023,02,25,07
4256,2023022508,2023-02-25 08:00:00,2023,02,25,08
4257,2023022509,2023-02-25 09:00:00,2023,02,25,09
4258,2023022510,2023-02-25 10:00:00,2023,02,25,10
4259,2023022511,2023-02-25 11:00:00,2023,02,25,11
4260,2023022512,2023-02-25 12:00:00,2023,02,25,12
4261,2023022513,2023-02-25 13:00:00,2023,02,25,13
4262,2023022514,2023-02-25 14:00:00,2023,02,25,14
4263,2023022515,2023-02-25 15:00:00,2023,02,25,15
4264,2023022516,2023-02-25 16:00:00,2023,02,25,16
4265,2023022517,2023-02-25 17:00:00,2023,02,25,17
4266,2023022518,2023-02-25 18:00:00,2023,02,25,18
4267,2023022519,2023-02-25 19:00:00,2023,02,25,19
4268,2023022520,2023-02-25 20:00:00,2023,02,25,20
4269,2023022521,2023-02-25 21:00:00,2023,02,25,21
4270,2023022522,2023-02-25 22:00:00,2023,02,25,22
4271,2023022523,2023-02-25 23:00:00,2023,02,25,23
4272,2023022600,2023-02-26 00:00:00,2023,02,26,00
4273,2023022601,2023-02-26 01:00:00,2023,02,26,01
4274,2023022602,2023-02-26 02:00:00,2023,02,26,02
4275,2023022603,2023-02-26 03:00:00,2023,02,26,03
4276,2023022604,2023-02-26 04:00:00,2023,02,26,04
4277,2023022605,2023-02-26 05:00:00,2023,02,26,05
4278,2023022606,2023-02-26 06:00:00,2023,02,26,06
4279,2023022607,2023-02-26 07:00:00,2023,02,26,07
4280,2023022608,2023-02-26 08:00:00,2023,02,26,08
4281,2023022609,2023-02-26 09:00:00,2023,02,26,09
4282,2023022610,2023-02-26 10:00:00,2023,02,26,10
4283,2023022611,2023-02-26 11:00:00,2023,02,26,11
4284,2023022612,2023-02-26 12:00:00,2023,02,26,12
4285,2023022613,2023-02-26 13:00:00,2023,02,26,13
4286,2023022614,2023-02-26 14:00:00,2023,02,26,14
4287,2023022615,2023-02-26 15:00:00,2023,02,26,15
4288,2023022616,2023-02-26 16:00:00,2023,02,26,16
4289,2023022617,2023-02-26 17:00:00,2023,02,26,17
4290,2023022618,2023-02-26 18:00:00,2023,02,26,18
4291,2023022619,2023-02-26 19:00:00,2023,02,26,19
4292,2023022620,2023-02-26 20:00:00,2023,02,26,20
4293,2023022621,2023-02-26 21:00:00,2023,02,26,21
4294,2023022622,2023-02-26 22:00:00,2023,02,26,22
4295,2023022623,2023-02-26 23:00:00,2023,02,26,23
4296,2023022700,2023-02-27 00:00:00,2023,02,27,00
4297,2023022701,2023-02-27 01:00:00,2023,02,27,01
4298,2023022702,2023-02-27 02:00:00,2023,02,27,02
4299,2023022703,2023-02-27 03:00:00,2023,02,27,03
4300,2023022704,2023-02-27 04:00:00,2023,02,27,04
4301,2023022705,2023-02-27 05:00:00,2023,02,27,05
4302,2023022706,2023-02-27 06:00:00,2023,02,27,06
4303,2023022707,2023-02-27 07:00:00,2023,02,27,07
4304,2023022708,2023-02-27 08:00:00,2023,02,27,08
4305,2023022709,2023-02-27 09:00:00,2023,02,27,09
4306,2023022710,2023-02-27 10:00:00,2023,02,27,10
4307,2023022711,2023-02-27 11:00:00,2023,02,27,11
4308,2023022712,2023-02-27 12:00:00,2023,02,27,12
4309,2023022713,2023-02-27 13:00:00,2023,02,27,13
4310,2023022714,2023-02-27 14:00:00,2023,02,27,14
4311,2023022715,2023-02-27 15:00:00,2023,02,27,15
4312,2023022716,2023-02-27 16:00:00,2023,02,27,16
4313,2023022717,2023-02-27 17:00:00,2023,02,27,17
4314,2023022718,2023-02-27 18:00:00,2023,02,27,18
4315,2023022719,2023-02-27 19:00:00,2023,02,27,19
4316,2023022720,2023-02-27 20:00:00,2023,02,27,20
4317,2023022721,2023-02-27 21:00:00,2023,02,27,21
4318,2023022722,2023-02-27 22:00:00,2023,02,27,22
4319,2023022723,2023-02-27 23:00:00,2023,02,27,23
4320,2023022800,2023-02-28 00:00:00,2023,02,28,00
4321,2023022801,2023-02-28 01:00:00,2023,02,28,01
4322,2023022802,2023-02-28 02:00:00,2023,02,28,02
4323,2023022803,2023-02-28 03:00:00,2023,02,28,03
4324,2023022804,2023-02-28 04:00:00,2023,02,28,04
4325,2023022805,2023-02-28 05:00:00,2023,02,28,05
4326,2023022806,2023-02-28 06:00:00,2023,02,28,06
4327,2023022807,2023-02-28 07:00:00,2023,02,28,07
4328,2023022808,2023-02-28 08:00:00,2023,02,28,08
4329,2023022809,2023-02-28 09:00:00,2023,02,28,09
4330,2023022810,2023-02-28 10:00:00,2023,02,28,10
4331,2023022811,2023-02-28 11:00:00,2023,02,28,11
4332,2023022812,2023-02-28 12:00:00,2023,02,28,12
4333,2023022813,2023-02-28 13:00:00,2023,02,28,13
4334,2023022814,2023-02-28 14:00:00,2023,02,28,14
4335,2023022815,2023-02-28 15:00:00,2023,02,28,15
4336,2023022816,2023-02-28 16:00:00,2023,02,28,16
4337,2023022817,2023-02-28 17:00:00,2023,02,28,17
4338,2023022818,2023-02-28 18:00:00,2023,02,28,18
4339,2023022819,2023-02-28 19:00:00,2023,02,28,19
4340,2023022820,2023-02-28 20:00:00,2023,02,28,20
4341,2023022821,2023-02-28 21:00:00,2023,02,28,21
4342,2023022822,2023-02-28 22:00:00,2023,02,28,22
4343,2023022823,2023-02-28 23:00:00,2023,02,28,23
4344,2023030100,2023-03-01 00:00:00,2023,03,01,00
4345,2023030101,2023-03-01 01:00:00,2023,03,01,01
4346,2023030102,2023-03-01 02:00:00,2023,03,01,02
4347,2023030103,2023-03-01 03:00:00,2023,03,01,03
4348,2023030104,2023-03-01 04:00:00,2023,03,01,04
4349,2023030105,2023-03-01 05:00:00,2023,03,01,05
4350,2023030106,2023-03-01 06:00:00,2023,03,01,06
4351,2023030107,2023-03-01 07:00:00,2023,03,01,07
4352,2023030108,2023-03-01 08:00:00,2023,03,01,08
4353,2023030109,2023-03-01 09:00:00,2023,03,01,09
4354,2023030110,2023-03-01 10:00:00,2023,03,01,10
4355,2023030111,2023-03-01 11:00:00,2023,03,01,11
4356,2023030112,2023-03-01 12:00:00,2023,03,01,12
4357,2023030113,2023-03-01 13:00:00,2023,03,01,13
4358,2023030114,2023-03-01 14:00:00,2023,03,01,14
4359,2023030115,2023-03-01 15:00:00,2023,03,01,15
4360,2023030116,2023-03-01 16:00:00,2023,03,01,16
4361,2023030117,2023-03-01 17:00:00,2023,03,01,17
4362,2023030118,2023-03-01 18:00:00,2023,03,01,18
4363,2023030119,2023-03-01 19:00:00,2023,03,01,19
4364,2023030120,2023-03-01 20:00:00,2023,03,01,20
4365,2023030121,2023-03-01 21:00:00,2023,03,01,21
4366,2023030122,2023-03-01 22:00:00,2023,03,01,22
4367,2023030123,2023-03-01 23:00:00,2023,03,01,23
4368,2023030200,2023-03-02 00:00:00,2023,03,02,00
4369,2023030201,2023-03-02 01:00:00,2023,03,02,01
4370,2023030202,2023-03-02 02:00:00,2023,03,02,02
4371,2023030203,2023-03-02 03:00:00,2023,03,02,03
4372,2023030204,2023-03-02 04:00:00,2023,03,02,04
4373,2023030205,2023-03-02 05:00:00,2023,03,02,05
4374,2023030206,2023-03-02 06:00:00,2023,03,02,06
4375,2023030207,2023-03-02 07:00:00,2023,03,02,07
4376,2023030208,2023-03-02 08:00:00,2023,03,02,08
4377,2023030209,2023-03-02 09:00:00,2023,03,02,09
4378,2023030210,2023-03-02 10:00:00,2023,03,02,10
4379,2023030211,2023-03-02 11:00:00,2023,03,02,11
4380,2023030212,2023-03-02 12:00:00,2023,03,02,12
4381,2023030213,2023-03-02 13:00:00,2023,03,02,13
4382,2023030214,2023-03-02 14:00:00,2023,03,02,14
4383,2023030215,2023-03-02 15:00:00,2023,03,02,15
4384,2023030216,2023-03-02 16:00:00,2023,03,02,16
4385,2023030217,2023-03-02 17:00:00,2023,03,02,17
4386,2023030218,2023-03-02 18:00:00,2023,03,02,18
4387,2023030219,2023-03-02 19:00:00,2023,03,02,19
4388,2023030220,2023-03-02 20:00:00,2023,03,02,20
4389,2023030221,2023-03-02 21:00:00,2023,03,02,21
4390,2023030222,2023-03-02 22:00:00,2023,03,02,22
4391,2023030223,2023-03-02 23:00:00,2023,03,02,23
4392,2023030300,2023-03-03 00:00:00,2023,03,03,00
4393,2023030301,2023-03-03 01:00:00,2023,03,03,01
4394,2023030302,2023-03-03 02:00:00,2023,03,03,02
4395,2023030303,2023-03-03 03:00:00,2023,03,03,03
4396,2023030304,2023-03-03 04:00:00,2023,03,03,04
4397,2023030305,2023-03-03 05:00:00,2023,03,03,05
4398,2023030306,2023-03-03 06:00:00,2023,03,03,06
4399,2023030307,2023-03-03 07:00:00,2023,03,03,07
4400,2023030308,2023-03-03 08:00:00,2023,03,03,08
4401,2023030309,2023-03-03 09:00:00,2023,03,03,09
4402,2023030310,2023-03-03 10:00:00,2023,03,03,10
4403,2023030311,2023-03-03 11:00:00,2023,03,03,11
